Asset type,Text,Description 1,Description 2,Final URL,State,Notes
Sitelink,How Fabsy Handles It,Court and Crown communications,Your case. Your final decision.,https://fabsy.ca/rapid-resolution#how-it-works,Draft - manual review,Verify this anchor in the deployed landing page.
Sitelink,Start Online With Fabsy,Secure online ticket intake,$198 + GST. Trial separate.,https://fabsy.ca/submit-ticket,Draft - manual review,Do not call this a free human review or a quote in minutes.
Sitelink,Insurance Planning Report,$49 + GST as a separate service,"Planning, not an insurance quote",https://fabsy.ca/insurance-damage-report,Draft - manual review,Standalone research/planning product; excluded from the ticket-service fee-refund promise and primary RR campaign conversion.
Sitelink,Service Fee Refund Terms,Crown offer terms. Pay upfront.,Within 30 days of Fabsy's receipt,https://fabsy.ca/terms-of-service,Draft - manual review,"Publish matching refund terms before use. Crown offer must improve neither original fine nor demerits; full fee actually paid, including the full bundle after any Pro discount. Standalone report excluded."
Callout,Court & Crown Handled,,,,Draft - manual review,Eligible ticket-service ads only; not standalone report ads.
Callout,Negotiations Handled,,,,Draft - manual review,Pursue an available resolution; no result promised.
Callout,Online Intake,,,,Draft - manual review,Digital intake is available; required court attendance and case communication are not waived.
Callout,Fast Online Start,,,,Draft - manual review,No promise about Crown response or final-outcome timing.
Callout,Ask About Language Help,,,,Draft - manual review,Confirm available language support before starting. No blanket end-to-end non-English service promise.
Callout,You Approve Any Deal,,,,Draft - manual review,Client-specific instruction required before accepting an offer.
Callout,Fee Refund Promise,,,,Draft - manual review,"Ticket service only. Pay upfront. If a Crown offer cuts neither original fine nor demerits, the actual service fee is refunded within 30 days of Fabsy receiving it. Full bundled fee covered; standalone report excluded. See website terms."
Callout,Trial Quoted Separately,,,,Draft - manual review,
